TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
670-YY,ISUZU,201311,無,2,8,有,無資料,無資料,763,237,8.5,5193,無,無,有,2460
868-YY,ISUZU,201310,無,58,41,有,無資料,無資料,763,237,8.5,5193,無,無,無,2460
870-YY,ISUZU,201311,無,0,12,有,無資料,無資料,763,237,8.5,5193,無,無,無,2460
928-ZZ,TOYOTA,201603,有,1,2,有,110kW/2700rpm,405123.6kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
988-YY,ISUZU,201310,無,0,6,有,無資料,無資料,763,237,8.5,5193,無,無,有,2460
KAA-5131,ISUZU,201604,無,0,0,有,139.75kW(190ps),52.3kg-m,758,236,8.5,5193,有,引擎排氣煞車,無,2460
625-FF,成運,200601,無,0,17,有,無資料,無資料,1220,250,17.0,10640,無,無,有,2491
Y3-925,VOLVO,200207,無,0,7,有,287kw,200.4kg-m,1219,250,17.0,12130,有,引擎排氣煞車,無,2492
Y3-927,VOLVO,200207,無,0,10,有,287kw,200.4kg-m,1219,250,17.0,12130,有,引擎排氣煞車,無,2492
082-DD,順益,201010,無,0,10,有,204.5kw(278ps),82kg-m,1199,250,15.5,7545,無,引擎排氣煞車,無,2508
188-HH,順益,200406,無,0,13,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2508
205-TT,順益,200603,無,0,6,有,257.4kw(350ps),145kg-m,1218,249,17.0,11945,無,引擎排氣煞車,無,2508
215-SS,順益,201101,無,0,4,有,204.5kw(278ps),82kg-m,1215,250,15.5,7545,無,引擎排氣煞車,無,2508
240-HH,TOYOTA,200604,無,0,3,有,無資料,無資料,699,203,5.29,4104,無,無,無,2508
313-TT,順益,200603,無,0,15,有,257.4kw(350ps),145kg-m,1218,249,17.0,11945,無,引擎排氣煞車,無,2508
370-UU,SCANIA,200203,無,0,4,有,250.0kW,163.2kg-m,1219,250,17.0,10640,無,引擎減速器,無,2508
381-UU,斯堪尼亞,201105,無,8,26,有,228.0kW,158.1kg-m,1220,250,17.0,8867,有,引擎排氣煞車,無,2508
493-DD,順益,200502,無,1,16,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2508
509-QQ,SCANIA,200101,無,0,2,有,250.0kW,163.2kg-m,1215,250,17.0,10640,無,引擎減速器,無,2508
525-V6,順益,200502,無,0,0,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,2508
652-V9,富豪,201505,無,0,0,有,338kW,223kg-m,1220,250,17.0,10837,有,引擎減速器引擎排氣煞車,無,2508
703-V6,國瑞,201409,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2508
715-V6,順益,201410,無,0,1,有,無資料,無資料,1220,250,15.5,7545,無,無,無,2508
763-V6,國瑞,201504,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2508
